Linkedin_Handle,FIN_Number,UTM_Source,Referred_By,Company_SSIC,Company_Address_Line_2,Address_Line_2,Managed_Contact,Company_State_Region,Company_Website,Highest_Qualification,Sales_Region,Contact_Type_Id,Contact_DB_Status_Id,Industry_Group,Lifecycle_Stage,Postal_Code,School_Attended,Cilos_Substage_Id,Sponsoring_Entity_Id,Referrer_Address,Company_Facebook,Nationality_Id,State_Region,Company_Name,Job_Classification,LinkedIn_URL,Date_of_Birth,NRIC_Number,Industry_Sector_Id,Secondary_Business_Acc_Mgr,Company_Owner,Company_Domain_Name,Passport_Number,Secondary_Business_Unit_Id,Company_Segment,Institute_Type,Company_UEN_Registration_No,Referrer_Email_Address,Partner_Type
handle11,FIN11,Direct,Value_Referred_By_11,SSIC11,"Company Block 11","Block 11",1,KL,https://company11.com,PhD,Value_Sales_Region_11,0e256baa-d5e8-47f9-bd91-17f9759a0397,f02f8cec-682c-4554-baf8-321abd44b887,NGO,Alumni,50000,"Test University 11",bc9e9e4e-1cf4-4b35-a648-312bc6cc00d3,9cb70031-788a-4875-864a-4d00630c8347,"Ref Address 11",https://facebook.com/company11,54ea163d-9fe9-427c-8522-abe65be5f4a6,KL,"Company 11",Marketing,https://linkedin.com/in/user11,1987-02-15,NRIC11,840998ff-94ca-4abf-b915-76a4867a60f5,Value_Secondary_Business_Acc_Mgr_11,"Owner 11",company11.com,PASS11,467ebc22-aac4-4714-8d17-e095482b5e2a,Education,Training-Institute,UEN11,Value_Referrer_Email_Address_11,Direct
handle12,FIN12,Google,Value_Referred_By_12,SSIC12,"Company Block 12","Block 12",0,KL,https://company12.com,Diploma,Value_Sales_Region_12,80d884b0-0234-4bd1-850c-94419ce95a5c,ddd9d2aa-8b14-4a29-99c0-c549eb593c23,Private,Prospect,50000,"Test University 12",b590809a-b977-475c-9c20-d0780bad550a,faa84ac2-5e7e-4738-ae74-de23f32e248a,"Ref Address 12",https://facebook.com/company12,acc118b9-3f03-44a0-a37b-052cff861edf,KL,"Company 12",IT,https://linkedin.com/in/user12,1982-06-09,NRIC12,22b66fdf-fe4e-4c61-b9e2-6f134a99fbfe,Value_Secondary_Business_Acc_Mgr_12,"Owner 12",company12.com,PASS12,b390fc1b-5756-488c-8079-3dc4fc9eabb5,Corporate,HigherED,UEN12,Value_Referrer_Email_Address_12,Partner
handle13,FIN13,LinkedIn,Value_Referred_By_13,SSIC13,"Company Block 13","Block 13",1,KL,https://company13.com,Degree,Value_Sales_Region_13,91c3b4ab-2624-4455-a7e5-c51f4024cc4a,152d8fb9-663b-4cad-b2eb-c836b39555d2,Public,Lead,50000,"Test University 13",9f4f2d79-a790-4763-bf15-242035ff5b67,9abf3d26-778d-42ec-9a30-3b1b0d1d94a3,"Ref Address 13",https://facebook.com/company13,06ac3b5a-8b0d-4335-8bcf-2b6893f58441,KL,"Company 13",Finance,https://linkedin.com/in/user13,1989-04-16,NRIC13,8c551b29-3ebc-494e-a4c4-62f17df118c2,Value_Secondary_Business_Acc_Mgr_13,"Owner 13",company13.com,PASS13,1cc01d89-c85f-45a2-9e3c-bf37ebf99f23,SME,Training-Institute,UEN13,Value_Referrer_Email_Address_13,Reseller
handle14,FIN14,Facebook,Value_Referred_By_14,SSIC14,"Company Block 14","Block 14",0,KL,https://company14.com,Master,Value_Sales_Region_14,6c11a8bb-b0ee-4446-8b44-9007d3e8654e,2ccef48c-1a0a-4748-8a5c-01593485266f,NGO,Customer,50000,"Test University 14",267e306a-307b-431e-98bb-3d2e96239d25,f1dcc5db-028f-4038-9cee-27b2fbcaa92c,"Ref Address 14",https://facebook.com/company14,feb96734-999a-43ee-b6a7-7ed64f5723b2,KL,"Company 14",Sales,https://linkedin.com/in/user14,1995-06-05,NRIC14,22450216-529e-46c3-878e-d6f5940c0890,Value_Secondary_Business_Acc_Mgr_14,"Owner 14",company14.com,PASS14,8f8400ed-5e21-47e5-ba34-25e014e0d4b3,Government,HigherED,UEN14,Value_Referrer_Email_Address_14,Direct
handle15,FIN15,Direct,Value_Referred_By_15,SSIC15,"Company Block 15","Block 15",1,KL,https://company15.com,PhD,Value_Sales_Region_15,f7cb5f03-c730-4910-b39e-e3d88c492cf2,cc7a674c-9ab2-4d67-9d80-a87e5c9a8396,Private,Alumni,50000,"Test University 15",669a621d-42de-4457-b5a1-3f40a3ff69b3,553114b7-ea89-49e6-9038-a07328fd928a,"Ref Address 15",https://facebook.com/company15,56bb72e0-8df9-40e4-b4c7-3e2413036cd2,KL,"Company 15",Marketing,https://linkedin.com/in/user15,1981-11-17,NRIC15,825334b4-6b24-4dba-a867-a9ec38c8549a,Value_Secondary_Business_Acc_Mgr_15,"Owner 15",company15.com,PASS15,79cacbaa-e4ca-4e53-b835-101571ab3819,Education,Training-Institute,UEN15,Value_Referrer_Email_Address_15,Partner
handle16,FIN16,Google,Value_Referred_By_16,SSIC16,"Company Block 16","Block 16",0,KL,https://company16.com,Diploma,Value_Sales_Region_16,85716153-9cda-4095-b583-ec7cb798f7be,a2731d64-001a-4477-9130-92f0588f0a1a,Public,Prospect,50000,"Test University 16",51210673-803c-4190-a712-c838818a3022,fd5a9f02-47d6-46d4-9ecd-7c196b7e748a,"Ref Address 16",https://facebook.com/company16,2d09e632-9164-4065-962e-2eb7044c110d,KL,"Company 16",IT,https://linkedin.com/in/user16,1996-06-24,NRIC16,129761fa-a161-4926-8a9d-1841fcafef1b,Value_Secondary_Business_Acc_Mgr_16,"Owner 16",company16.com,PASS16,0dfd6e45-98f6-48f2-8691-d0fbdd3202e2,Corporate,HigherED,UEN16,Value_Referrer_Email_Address_16,Reseller
handle17,FIN17,LinkedIn,Value_Referred_By_17,SSIC17,"Company Block 17","Block 17",1,KL,https://company17.com,Degree,Value_Sales_Region_17,2efd7b5c-9b56-4456-80a9-1133b3a69d9a,1c3d0f36-0693-49a0-92a6-c4dd2c43191f,NGO,Lead,50000,"Test University 17",6a7fb02a-df87-48dc-b9fd-52c1c2464202,9cba6d12-4996-41b5-9732-3cc9b4dcbf97,"Ref Address 17",https://facebook.com/company17,c5ee83fb-0199-463d-830d-6148b019495e,KL,"Company 17",Finance,https://linkedin.com/in/user17,1998-04-07,NRIC17,5c55947f-eb92-4acd-8e96-7a9730a5a91e,Value_Secondary_Business_Acc_Mgr_17,"Owner 17",company17.com,PASS17,28c18549-6f6d-4d65-bce8-d9230800aa50,SME,Training-Institute,UEN17,Value_Referrer_Email_Address_17,Direct
handle18,FIN18,Facebook,Value_Referred_By_18,SSIC18,"Company Block 18","Block 18",0,KL,https://company18.com,Master,Value_Sales_Region_18,f325bb5b-d6cd-4935-9d8c-b5f96aa8429f,8ee77659-3283-45d0-ad72-b0e073d4be7d,Private,Customer,50000,"Test University 18",6854e499-5e11-4a20-9b19-cf8606be690a,0c6e2b30-339b-42a5-9b4f-17fed9fb6602,"Ref Address 18",https://facebook.com/company18,37829081-f056-481c-a515-49cefa124c0d,KL,"Company 18",Sales,https://linkedin.com/in/user18,1982-11-19,NRIC18,8c8c856a-4f59-43e6-85b9-137b1bd9c724,Value_Secondary_Business_Acc_Mgr_18,"Owner 18",company18.com,PASS18,d72bb118-a689-4fa1-98b7-ccf121e00484,Government,HigherED,UEN18,Value_Referrer_Email_Address_18,Partner
handle19,FIN19,Direct,Value_Referred_By_19,SSIC19,"Company Block 19","Block 19",1,KL,https://company19.com,PhD,Value_Sales_Region_19,24285c02-c3e4-493a-8ddd-0d6cb8007c58,ebb8bede-26ab-45cf-9b81-1ab43b3d450a,Public,Alumni,50000,"Test University 19",b7eebc60-391a-40ba-8d20-a5bb8acacce3,350b50a9-85e3-4c2d-ac53-bf627445b0c5,"Ref Address 19",https://facebook.com/company19,7056762e-c60a-48ef-8311-c484b3bccc83,KL,"Company 19",Marketing,https://linkedin.com/in/user19,1996-04-27,NRIC19,b916e5d0-b2ff-473e-bc92-0758deee304a,Value_Secondary_Business_Acc_Mgr_19,"Owner 19",company19.com,PASS19,18f8ce14-3088-4af2-afe2-3418aa5375b5,Education,Training-Institute,UEN19,Value_Referrer_Email_Address_19,Reseller
handle20,FIN20,Google,Value_Referred_By_20,SSIC20,"Company Block 20","Block 20",0,KL,https://company20.com,Diploma,Value_Sales_Region_20,8722ed63-b523-4b88-a9b6-b439014880a5,0cfc9801-fe09-4537-bef0-c1963a0c20c1,NGO,Prospect,50000,"Test University 20",9c718d64-85ac-4439-9219-eace36e81f9d,81471cdc-8843-4515-8295-7c869b237083,"Ref Address 20",https://facebook.com/company20,a3010f7d-89f6-430b-bce8-9fc4fda9313a,KL,"Company 20",IT,https://linkedin.com/in/user20,2000-10-05,NRIC20,fd3f4c66-7711-47b7-8480-2b8a0979d34d,Value_Secondary_Business_Acc_Mgr_20,"Owner 20",company20.com,PASS20,2faba2fc-528a-41a9-8a12-b55868fa6602,Corporate,HigherED,UEN20,Value_Referrer_Email_Address_20,Direct
handle21,FIN21,LinkedIn,Value_Referred_By_21,SSIC21,"Company Block 21","Block 21",1,KL,https://company21.com,Degree,Value_Sales_Region_21,ab21244f-f8fa-422f-b6aa-160c8a4187f1,e545bdf4-e1a1-4a53-af9f-9b699c284a21,Private,Lead,50000,"Test University 21",78b88197-b359-497b-97f5-2fb2c4adb3cf,76798cb0-a8c7-4a65-ba5f-2c89a4402f0c,"Ref Address 21",https://facebook.com/company21,21e9e32d-f61e-4f1d-9407-654dbacb2434,KL,"Company 21",Finance,https://linkedin.com/in/user21,1984-08-16,NRIC21,62cec551-9931-4a6e-9471-0f46260a6bc3,Value_Secondary_Business_Acc_Mgr_21,"Owner 21",company21.com,PASS21,82f4390c-c924-4a0e-95eb-3ae0e06983dd,SME,Training-Institute,UEN21,Value_Referrer_Email_Address_21,Partner
handle22,FIN22,Facebook,Value_Referred_By_22,SSIC22,"Company Block 22","Block 22",0,KL,https://company22.com,Master,Value_Sales_Region_22,1b91bf4e-2aca-464b-be0e-fbfd373b869c,88bc0f40-975d-4307-9739-9038f239c8c1,Public,Customer,50000,"Test University 22",680b29e0-f687-4eec-90d3-706b22052c1f,39d558ca-f1fc-4bda-92ef-ddb856c58354,"Ref Address 22",https://facebook.com/company22,31320af1-b349-4b24-8917-0f5774fb9f98,KL,"Company 22",Sales,https://linkedin.com/in/user22,1981-12-24,NRIC22,442de65f-1bdd-491b-93c7-4deb870bd559,Value_Secondary_Business_Acc_Mgr_22,"Owner 22",company22.com,PASS22,da993d48-55c2-45e8-a46e-2131dd479e57,Government,HigherED,UEN22,Value_Referrer_Email_Address_22,Reseller
handle23,FIN23,Direct,Value_Referred_By_23,SSIC23,"Company Block 23","Block 23",1,KL,https://company23.com,PhD,Value_Sales_Region_23,22295c19-1850-4228-bca8-1980e5172e76,99ba3fb1-d597-4c2a-85a2-5de24cc2a188,NGO,Alumni,50000,"Test University 23",54c017e6-e57c-48b1-939f-45ab09731b1c,fc4164d8-eec9-4fa3-a1e2-c1b5f5da2f1b,"Ref Address 23",https://facebook.com/company23,96ef1651-d3e5-48f2-ab0c-44af91847d83,KL,"Company 23",Marketing,https://linkedin.com/in/user23,1999-12-09,NRIC23,4f7eb3b5-2e0c-47bb-869c-5756cfa9a4d8,Value_Secondary_Business_Acc_Mgr_23,"Owner 23",company23.com,PASS23,a3fa7b55-b803-47ba-a928-7abfa42246ed,Education,Training-Institute,UEN23,Value_Referrer_Email_Address_23,Direct
handle24,FIN24,Google,Value_Referred_By_24,SSIC24,"Company Block 24","Block 24",0,KL,https://company24.com,Diploma,Value_Sales_Region_24,4550d00d-33a3-45f9-a425-05d0b8fbd57f,09d653fa-f89e-41f0-9813-e761873a8fb2,Private,Prospect,50000,"Test University 24",f05a8688-87c0-4160-b70e-4f89b8d17c6e,f2c1af17-8543-4477-9e94-fdbb659ce90e,"Ref Address 24",https://facebook.com/company24,e519277d-26b3-4660-8d11-07afdc8d22e0,KL,"Company 24",IT,https://linkedin.com/in/user24,1991-02-26,NRIC24,7cfcd072-f25e-463c-a858-197c09ad6db6,Value_Secondary_Business_Acc_Mgr_24,"Owner 24",company24.com,PASS24,4290e701-d83c-49e7-ab5b-c17e73f79599,Corporate,HigherED,UEN24,Value_Referrer_Email_Address_24,Partner
handle25,FIN25,LinkedIn,Value_Referred_By_25,SSIC25,"Company Block 25","Block 25",1,KL,https://company25.com,Degree,Value_Sales_Region_25,5bdadd01-5721-49d0-8401-20e7b1b0e243,da81c45f-4bf4-4408-9a46-406ece5345c9,Public,Lead,50000,"Test University 25",12f126c3-b2e4-47e1-94ec-80c1a4890713,3fa7296f-03d6-4694-99ac-ee5f72a471e7,"Ref Address 25",https://facebook.com/company25,33762b50-8510-4083-b30c-74c55ba2d30d,KL,"Company 25",Finance,https://linkedin.com/in/user25,1982-02-11,NRIC25,3b64770f-b8ba-4441-81a9-54048a9a1487,Value_Secondary_Business_Acc_Mgr_25,"Owner 25",company25.com,PASS25,6ea87260-a804-4896-b5d6-dae29586348d,SME,Training-Institute,UEN25,Value_Referrer_Email_Address_25,Reseller
handle26,FIN26,Facebook,Value_Referred_By_26,SSIC26,"Company Block 26","Block 26",0,KL,https://company26.com,Master,Value_Sales_Region_26,098b169e-65b0-47d3-a107-94f4bf0c575f,edf085a2-683e-4828-a21f-80c8128dcbd7,NGO,Customer,50000,"Test University 26",78120249-ba77-467c-a987-9ff037565fda,431f8f19-85fb-4fa2-af73-a97777f35ac3,"Ref Address 26",https://facebook.com/company26,8bb2eb07-1ed4-4d92-a733-7ae5498430d8,KL,"Company 26",Sales,https://linkedin.com/in/user26,1990-12-25,NRIC26,1928e6cb-a7f3-4024-ad71-c075623413fe,Value_Secondary_Business_Acc_Mgr_26,"Owner 26",company26.com,PASS26,663b9770-7929-4488-99f2-dd4b2e40fb02,Government,HigherED,UEN26,Value_Referrer_Email_Address_26,Direct
handle27,FIN27,Direct,Value_Referred_By_27,SSIC27,"Company Block 27","Block 27",1,KL,https://company27.com,PhD,Value_Sales_Region_27,b481979e-4581-49c2-be5d-073f4d0841a6,03cc7d6b-9042-428f-b24c-f131984c09cf,Private,Alumni,50000,"Test University 27",95171eff-da62-4d63-8261-b3d9fe70d11d,6295fcde-314e-40cf-8d57-81aab8749653,"Ref Address 27",https://facebook.com/company27,6aa1d383-a9d8-4439-997b-826cb6c88267,KL,"Company 27",Marketing,https://linkedin.com/in/user27,1994-07-14,NRIC27,bbfa991c-cb6a-40c9-9402-08e2f2ed3c21,Value_Secondary_Business_Acc_Mgr_27,"Owner 27",company27.com,PASS27,845ab44f-3cd9-4b81-b586-9d70fadeac9f,Education,Training-Institute,UEN27,Value_Referrer_Email_Address_27,Partner
handle28,FIN28,Google,Value_Referred_By_28,SSIC28,"Company Block 28","Block 28",0,KL,https://company28.com,Diploma,Value_Sales_Region_28,e4da8e4d-d166-449f-bc9a-5454850c45c4,44476886-e551-4ec4-ad8c-22fab46ef8c0,Public,Prospect,50000,"Test University 28",c6c6bea6-089b-42b3-988e-7ccc8550e04b,838e54d9-9917-4972-bd1f-47be2c6b4da7,"Ref Address 28",https://facebook.com/company28,201be458-2f7e-4ad3-950e-12b492f0201b,KL,"Company 28",IT,https://linkedin.com/in/user28,1998-08-12,NRIC28,76fa6b69-e416-44ef-8728-b1da94acd3e4,Value_Secondary_Business_Acc_Mgr_28,"Owner 28",company28.com,PASS28,1935e1cd-0ffb-46db-b45c-8a63817f16e9,Corporate,HigherED,UEN28,Value_Referrer_Email_Address_28,Reseller
handle29,FIN29,LinkedIn,Value_Referred_By_29,SSIC29,"Company Block 29","Block 29",1,KL,https://company29.com,Degree,Value_Sales_Region_29,48142d80-3006-464f-ac9a-251812e5f544,d5b90822-39d0-4460-b752-198a1fb1f717,NGO,Lead,50000,"Test University 29",3ed00133-1bfa-4f18-8ee2-8fbd0737592e,9147dd58-7835-4799-b3fd-e61bf7807088,"Ref Address 29",https://facebook.com/company29,5b0b3625-e701-430a-8f02-110a28cda01f,KL,"Company 29",Finance,https://linkedin.com/in/user29,1982-08-02,NRIC29,db844f2c-6d79-423f-a790-5961c02307b3,Value_Secondary_Business_Acc_Mgr_29,"Owner 29",company29.com,PASS29,81b93da9-fa94-4cf9-8584-857750fbf531,SME,Training-Institute,UEN29,Value_Referrer_Email_Address_29,Direct
handle30,FIN30,Facebook,Value_Referred_By_30,SSIC30,"Company Block 30","Block 30",0,KL,https://company30.com,Master,Value_Sales_Region_30,4a3101b5-a5ed-4bcb-929d-88e6449dc98c,67bdfc9f-6668-4960-928a-cce78138e302,Private,Customer,50000,"Test University 30",1db52616-f786-4853-9e1b-62345810f16e,13f4cd08-ca56-46ed-adec-b2aea9a9ea3d,"Ref Address 30",https://facebook.com/company30,33dd3b56-a762-494b-a3f1-531cdaf80f3f,KL,"Company 30",Sales,https://linkedin.com/in/user30,1990-11-23,NRIC30,cdfc6568-b529-421f-b1eb-b2225c29fe91,Value_Secondary_Business_Acc_Mgr_30,"Owner 30",company30.com,PASS30,297c8081-52b0-480e-ad08-a12d5de86ec0,Government,HigherED,UEN30,Value_Referrer_Email_Address_30,Partner
handle31,FIN31,Direct,Value_Referred_By_31,SSIC31,"Company Block 31","Block 31",1,KL,https://company31.com,PhD,Value_Sales_Region_31,dd749d99-ecdd-4cd1-b75b-dc1c7772969e,bde90397-95a8-4992-bc71-21656aa8bad5,Public,Alumni,50000,"Test University 31",12bcff6b-533d-4031-ae78-7efdc478422b,b5b838fc-bfac-406a-9ee9-ab70afc2e74a,"Ref Address 31",https://facebook.com/company31,8373305c-cff8-458b-8342-f60227fa747f,KL,"Company 31",Marketing,https://linkedin.com/in/user31,1989-01-06,NRIC31,897a5ef0-fb2b-4384-b91d-dfa4b6a55343,Value_Secondary_Business_Acc_Mgr_31,"Owner 31",company31.com,PASS31,2aaee70b-1cce-4134-a6ed-3472ff7a47aa,Education,Training-Institute,UEN31,Value_Referrer_Email_Address_31,Reseller
handle32,FIN32,Google,Value_Referred_By_32,SSIC32,"Company Block 32","Block 32",0,KL,https://company32.com,Diploma,Value_Sales_Region_32,bdf35dba-fdcd-44f5-a30e-a9c558bec600,812dd9cf-4d62-43d2-ab82-7f288a459a1c,NGO,Prospect,50000,"Test University 32",6ed7e65e-6002-48f4-b228-156b0aa66131,ba47edb1-4763-4247-9795-1c99ade5ba0e,"Ref Address 32",https://facebook.com/company32,9eaa0483-c181-46f8-b3b6-393e7be025f0,KL,"Company 32",IT,https://linkedin.com/in/user32,1991-05-05,NRIC32,8252dac0-0be2-4cfc-92c1-d070b1f1afca,Value_Secondary_Business_Acc_Mgr_32,"Owner 32",company32.com,PASS32,1ea201d0-354c-4c01-baa0-b14bb5a4cffa,Corporate,HigherED,UEN32,Value_Referrer_Email_Address_32,Direct
