Institute_Type,Do_Not_Call,Secondary_Business_Unit_Id,Parent_Guardian_Email,Major,Company_Website,Postal_Code,Sales_Campaign_Id,Resume,Solution,City,Company_City,Contact_Person_Email,No_of_Work_Experience_Year,Highest_Qualification,EduCLaaS_Account_Manager_Name,UTM_Campaign,Lead_Status,Phone_Number,Date_of_Birth,Contact_DB_Status_Id,FIN_Number,Last_Name,Company_Size_Category_Code,Contact_Source,Address_Line_1,Contact_Owner,Secondary_Business_Acc_Mgr,Company_State_Region,Company_Owner,Cilos_Substage_Id,Industry_Sector_Id,Company_Address_Line_1,UTM_Medium,Company_Name,Company_Phone,Country_Id,NRIC_Number,Website_URL,UTM_Source,Contact_Type_Id,Company_Postal_Code,Industry_Group,Address_Line_2,Primary_Business_Unit_Id,Race_Id,Primary_Business_Acc_Mgr,Job_Title,Managed_Contact,Country,Personal_Email,Current_Income_Yearly,Industry_Sector,First_Name,Company_Code,Sales_Region,Company_Linkedin_URL,Company_Facebook,Agentic_Type_Id,Parent_Guardian_Contact_No,Facebook_Id,Referrer_Address,Viber_Number,Sponsoring_Entity_Id,Company_Domain_Name,Industry,Referred_By,Lifecycle_Stage,State_Region,Mobile_Phone_Number,Parent_Guardian_NRIC_Passport_No,Employee_Range,Company_Notes,Company_Segment,WhatsApp_Phone_Number,Company_Address_Line_2,Annual_Revenue,Nationality_Id,Company_Status,CILOS_Life_Cycle_Stage,Salutation,School_Attended,Desired_Quarter_Intake,Company_UEN_Registration_No,Company_SSIC,Contact_Person,Next_Activity_Date,Partner_Type,LinkedIn_URL,Career_Level,Curation_Id,Referrer_Name,Referrer_Email_Address,Job_Classification,Current_Designation,Company_Email,Marketing_Campaign_Id,Solution_Group_Id,Work_Email,Contact_Notes,Passport_Number,Channel_Ref_Id,Linkedin_Handle,Company_Id,Residence_Status_Id
HigherED,0,67d6098f-7a32-4ae6-acbc-27d468ef977b,parent24@example.com,"Computer Science",https://company24.com,50000,5b0c3dda-0066-4d93-8c52-a79af009da74,resume24.pdf,"Solution A","Kuala Lumpur","Kuala Lumpur",manager24@company.com,8,Diploma,"Account Manager 24","Campaign 5",New,037837141,2000-01-20,7d367efb-3465-4592-a93a-f4e159b0819c,FIN24,Test24,Small,Marketing,"Street 24",Value_Contact_Owner_24,Value_Secondary_Business_Acc_Mgr_24,KL,"Owner 24",7fc4c8d1-b2aa-4f2d-af54-00670d1a6560,ea35fcb2-3c66-4d40-847b-9467014caf6f,"Company Street 24",CPC,"Company 24",034035056,0519d046-c52e-4b20-9dbe-fd4ce2073ace,NRIC24,https://company24.com,Google,6d6326b6-c9e7-4203-9b3b-bd38b01ea800,50000,Private,"Block 24",26c52af6-c011-4428-9c12-b64efe3443ed,0d052cb4-49b4-4d11-8120-1f9d2ff1fe3c,Value_Primary_Business_Acc_Mgr_24,Engineer,0,Malaysia,user24@example.com,65913,Value_Industry_Sector_24,User24,C24,Value_Sales_Region_24,https://linkedin.com/company/24,https://facebook.com/company24,03ce9595-72fb-42bb-8b14-e1494cc0c734,0197729776,696bd847-bdf2-4018-8f2f-f0ac7ee9181f,"Ref Address 24",0120503768,8b28304c-771c-4835-b5e4-a227799d3d43,company24.com,Technology,Value_Referred_By_24,Prospect,KL,0126257381,PP24,1-10,"Company notes 24. Company notes 24. Company notes 24. Company notes 24. Company notes 24. Company notes 24. Company notes 24. Company notes 24. Company notes 24. Company notes 24. Company notes 24. Company notes 24. ",Corporate,0134581479,"Company Block 24",403988,3e6558cc-c7a8-4a94-9630-ab4d410570fb,Active,Value_CILOS_Life_Cycle_Stage_24,Mdm,"Test University 24",2025-Q1,UEN24,SSIC24,"Manager 24",2026-03-04,Partner,https://linkedin.com/in/user24,Value_Career_Level_24,220a5e93-f904-44bd-b541-0af01d83f079,"Referrer 24",Value_Referrer_Email_Address_24,IT,Junior,contact24@company.com,d48bf882-788c-4093-b8f2-4de6483b2497,44a43ad4-c467-4103-8c60-43dff006c69b,work24@example.com,"Generated note 24. Generated note 24. Generated note 24. Generated note 24. Generated note 24. Generated note 24. Generated note 24. Generated note 24. Generated note 24. Generated note 24. ",PASS24,f016ef5e-1be7-4416-9086-795dfb2e5a51,handle24,bd42dfff-70a2-489e-bb0d-ae7150fd1da2,93188cae-6113-40b4-9080-f6ee16e95839
Training-Institute,1,8c4601cc-afbe-4ded-b79f-8d5632c4d71c,parent25@example.com,Business,https://company25.com,50000,ac658b3c-bb9c-453f-85a5-b863d6032548,resume25.pdf,"Solution B","Kuala Lumpur","Kuala Lumpur",manager25@company.com,1,Degree,"Account Manager 25","Campaign 1",Working,035358912,1992-12-22,de396ec5-55e1-4822-8dff-53ede5fbcc44,FIN25,Test25,Medium,Sales,"Street 25",Value_Contact_Owner_25,Value_Secondary_Business_Acc_Mgr_25,KL,"Owner 25",625f9b61-7f82-4ded-b05e-631347a4f3a2,e1bc38b9-1c08-4b47-9250-76cc43ba8f71,"Company Street 25",Email,"Company 25",035205910,f4f5a8b6-d332-42e9-b77f-6bb22f904304,NRIC25,https://company25.com,LinkedIn,2cf79dcb-d3ba-4758-b4a0-d1d78d96b84f,50000,Public,"Block 25",477b006c-bccf-4ca7-92f9-9ab2df8b2979,a8d26da5-d3ed-48f5-bb6b-c09aa5b8d72a,Value_Primary_Business_Acc_Mgr_25,Analyst,1,Malaysia,user25@example.com,45319,Value_Industry_Sector_25,User25,C25,Value_Sales_Region_25,https://linkedin.com/company/25,https://facebook.com/company25,4098f613-3834-43ce-8338-a475a0c8c926,0174788510,a445e244-fd7f-4ed2-8d29-be3da3b972ae,"Ref Address 25",0132392737,dce0691e-5169-4a0d-baab-67304cde9243,company25.com,Finance,Value_Referred_By_25,Lead,KL,0169056261,PP25,11-50,"Company notes 25. Company notes 25. Company notes 25. Company notes 25. Company notes 25. Company notes 25. Company notes 25. Company notes 25. Company notes 25. Company notes 25. Company notes 25. Company notes 25. ",SME,0158990421,"Company Block 25",16411,34a3854a-defc-40b2-85da-aa9751bab2f3,Inactive,Value_CILOS_Life_Cycle_Stage_25,Mr,"Test University 25",2025-Q2,UEN25,SSIC25,"Manager 25",2026-03-04,Reseller,https://linkedin.com/in/user25,Value_Career_Level_25,66968123-fe28-4c7b-b7c4-2cd5c1e66bf5,"Referrer 25",Value_Referrer_Email_Address_25,Finance,Mid,contact25@company.com,f4da7710-4877-4a29-b732-e32b71fbaf34,360a2bba-1448-4509-b5c6-55c52f662dff,work25@example.com,"Generated note 25. Generated note 25. Generated note 25. Generated note 25. Generated note 25. Generated note 25. Generated note 25. Generated note 25. Generated note 25. Generated note 25. ",PASS25,ebe8e775-9975-4a84-bdfe-ca62f9bb6799,handle25,b035bab6-3f2d-4ab7-8979-eda21cabacab,fc938f20-4112-413e-a3bb-b3864f7c1cde
HigherED,0,775899d6-d74a-438b-9eef-822ac4bc1752,parent26@example.com,IT,https://company26.com,50000,fb92fa3b-d86c-472c-951e-cfb70be1aefa,resume26.pdf,"Solution C","Kuala Lumpur","Kuala Lumpur",manager26@company.com,9,Master,"Account Manager 26","Campaign 2",Nurture,039590952,2000-11-07,d3c44fb1-8dd2-4ca1-9793-5eb8b6f0f96d,FIN26,Test26,Large,Purchased,"Street 26",Value_Contact_Owner_26,Value_Secondary_Business_Acc_Mgr_26,KL,"Owner 26",c3ebf3b2-e597-41cc-b382-6bd9f950d52d,a4030800-7b83-4cbf-8a04-ce9630c818ab,"Company Street 26",Organic,"Company 26",033950340,59be09ef-eb12-4abf-92f7-d71ec063855d,NRIC26,https://company26.com,Facebook,6a810a95-627a-4d3b-b2d0-b5bcc70d86af,50000,NGO,"Block 26",04c0bbfa-998e-425d-87d6-6e36b232649e,8ac3ec2f-8b3d-4922-8668-880694b9a18f,Value_Primary_Business_Acc_Mgr_26,Manager,0,Malaysia,user26@example.com,64773,Value_Industry_Sector_26,User26,C26,Value_Sales_Region_26,https://linkedin.com/company/26,https://facebook.com/company26,8df8dd44-7df6-42ce-9c0e-8e8107f17279,0149173550,e79ab36a-6a31-4a3b-86f0-70873a7159b9,"Ref Address 26",0144904110,5ee85035-b7d1-48a3-adbc-c7a94b4e8287,company26.com,Education,Value_Referred_By_26,Customer,KL,0153570569,PP26,51-200,"Company notes 26. Company notes 26. Company notes 26. Company notes 26. Company notes 26. Company notes 26. Company notes 26. Company notes 26. Company notes 26. Company notes 26. Company notes 26. Company notes 26. ",Government,0149874651,"Company Block 26",11753,e72e7532-e056-4313-8518-34c962e51e35,Active,Value_CILOS_Life_Cycle_Stage_26,Ms,"Test University 26",2025-Q3,UEN26,SSIC26,"Manager 26",2026-03-04,Direct,https://linkedin.com/in/user26,Value_Career_Level_26,4c26ac4c-febf-4012-9e47-102fd5583221,"Referrer 26",Value_Referrer_Email_Address_26,Sales,Senior,contact26@company.com,d511710b-bd31-48d2-a227-4aee38e4891d,b2a76966-0937-4cd0-a357-27ffe878546a,work26@example.com,"Generated note 26. Generated note 26. Generated note 26. Generated note 26. Generated note 26. Generated note 26. Generated note 26. Generated note 26. Generated note 26. Generated note 26. ",PASS26,b49c234e-4c3b-4878-9f6d-808d8551b233,handle26,930ed586-94e1-4683-a2e1-4b66a9b99f48,814081f3-82bc-4d67-8598-43bed3702d91
Training-Institute,1,d0f8dc3a-013b-4f25-89aa-18a8cb3697e7,parent27@example.com,Engineering,https://company27.com,50000,014f9451-79d8-45d7-98f0-a280f90becd1,resume27.pdf,"Solution A","Kuala Lumpur","Kuala Lumpur",manager27@company.com,2,PhD,"Account Manager 27","Campaign 3",Converted,031615667,1980-01-14,a254143e-aa2c-4dd7-b029-918d58a45daf,FIN27,Test27,Small,Linkedin,"Street 27",Value_Contact_Owner_27,Value_Secondary_Business_Acc_Mgr_27,KL,"Owner 27",6bdc467f-5ca7-48e8-8e4f-f7bcef113d67,2b3c4cf7-0509-4fe3-a55b-be899fa412d6,"Company Street 27",Referral,"Company 27",034471557,e0f9954b-43d1-4e82-ba9b-e861833ba4a0,NRIC27,https://company27.com,Direct,c9e2711f-d09a-4664-afee-c5d9f925b2c3,50000,Private,"Block 27",9104e295-0e1d-4420-91ec-0bbaf5087957,e32a47f7-bc3c-49b6-a532-cff429b49dd2,Value_Primary_Business_Acc_Mgr_27,Developer,1,Malaysia,user27@example.com,147092,Value_Industry_Sector_27,User27,C27,Value_Sales_Region_27,https://linkedin.com/company/27,https://facebook.com/company27,32fa71d1-939f-40fa-84c0-87738cdef145,0193994831,9815514a-02d1-4781-ae0d-ffb5184fc4ca,"Ref Address 27",0154031819,4844fc18-f762-470d-a722-b711570f67e5,company27.com,Retail,Value_Referred_By_27,Alumni,KL,0164397870,PP27,201-500,"Company notes 27. Company notes 27. Company notes 27. Company notes 27. Company notes 27. Company notes 27. Company notes 27. Company notes 27. Company notes 27. Company notes 27. Company notes 27. Company notes 27. ",Education,0143550597,"Company Block 27",327868,98dd57bc-6ee4-4e5e-af9d-994b91b0299c,Inactive,Value_CILOS_Life_Cycle_Stage_27,Mrs,"Test University 27",2025-Q4,UEN27,SSIC27,"Manager 27",2026-03-04,Partner,https://linkedin.com/in/user27,Value_Career_Level_27,beb2d20f-2d91-4211-b5ee-d10bff0a88b6,"Referrer 27",Value_Referrer_Email_Address_27,Marketing,Lead,contact27@company.com,27c985da-c5db-47bd-8f04-2aaccd41857b,a7f91f83-6a3f-4714-8acb-d7f9cd35d1c8,work27@example.com,"Generated note 27. Generated note 27. Generated note 27. Generated note 27. Generated note 27. Generated note 27. Generated note 27. Generated note 27. Generated note 27. Generated note 27. ",PASS27,30bc2ead-3546-46a6-9cb3-aa65cc5eb234,handle27,87a44fdf-e1a2-4f01-826c-d3d5f87f9d43,eba5af00-6ec1-4738-b759-070f46c0c026
HigherED,0,525e04f9-b563-4953-a5bf-3a9652706c8e,parent28@example.com,"Computer Science",https://company28.com,50000,1de7ea5e-9778-4435-b3b4-733943643daf,resume28.pdf,"Solution B","Kuala Lumpur","Kuala Lumpur",manager28@company.com,0,Diploma,"Account Manager 28","Campaign 4",New,035359725,1992-12-27,18a1ecad-3c7f-426c-8418-4f3c05100de4,FIN28,Test28,Medium,Marketing,"Street 28",Value_Contact_Owner_28,Value_Secondary_Business_Acc_Mgr_28,KL,"Owner 28",629408d6-bb42-4aab-98bc-30ab2e1d73b6,60783e44-8414-4770-80d5-b8b119c267e9,"Company Street 28",CPC,"Company 28",036481356,3bc78906-ddd3-4f0b-8a0e-2a448b389233,NRIC28,https://company28.com,Google,9df5386c-a421-4980-a257-09e4aa04937c,50000,Public,"Block 28",8c40e568-4b2b-4a6c-bab4-e3d7b0436527,01303bd9-397e-43fc-90f7-0595b3838153,Value_Primary_Business_Acc_Mgr_28,Engineer,0,Malaysia,user28@example.com,60847,Value_Industry_Sector_28,User28,C28,Value_Sales_Region_28,https://linkedin.com/company/28,https://facebook.com/company28,5f89e37e-e9a0-4235-8429-c89a01c5413b,0179006624,c213b7b1-47f8-457f-b53e-22218ba76025,"Ref Address 28",0121619407,b4bc5444-9616-4e76-9985-265dc04c07e1,company28.com,Technology,Value_Referred_By_28,Prospect,KL,0171009170,PP28,1-10,"Company notes 28. Company notes 28. Company notes 28. Company notes 28. Company notes 28. Company notes 28. Company notes 28. Company notes 28. Company notes 28. Company notes 28. Company notes 28. Company notes 28. ",Corporate,0113469927,"Company Block 28",485956,058209a3-3644-4fc9-94f7-e7bc84068c57,Active,Value_CILOS_Life_Cycle_Stage_28,Dr,"Test University 28",2025-Q1,UEN28,SSIC28,"Manager 28",2026-03-04,Reseller,https://linkedin.com/in/user28,Value_Career_Level_28,dc1024fa-866a-433e-a3ff-49672c44165a,"Referrer 28",Value_Referrer_Email_Address_28,IT,Junior,contact28@company.com,6c0b929f-d379-4cb9-b1ad-8b8f7d35cd09,ff2e1997-9d22-4d7b-8208-1c97dd6c532b,work28@example.com,"Generated note 28. Generated note 28. Generated note 28. Generated note 28. Generated note 28. Generated note 28. Generated note 28. Generated note 28. Generated note 28. Generated note 28. ",PASS28,74a6855b-9ae5-49c2-80d5-c88b1f30a423,handle28,ca3f4e65-1727-4d19-b2f3-82e6b7127ae6,e530f363-66fb-4104-b330-6c02a66e36cb
Training-Institute,1,9f1cdb78-b0a9-4469-8f4d-6e82ebb02949,parent29@example.com,Business,https://company29.com,50000,c98b101a-7232-48f2-b239-9e045f631da8,resume29.pdf,"Solution C","Kuala Lumpur","Kuala Lumpur",manager29@company.com,5,Degree,"Account Manager 29","Campaign 5",Working,037926318,1998-10-19,dc62184a-bcc2-4458-8e20-969c16755c09,FIN29,Test29,Large,Sales,"Street 29",Value_Contact_Owner_29,Value_Secondary_Business_Acc_Mgr_29,KL,"Owner 29",ed316e92-f6f8-4578-bbdb-370a705becd1,a62ecf5c-3022-4870-8e82-8de9cdf58248,"Company Street 29",Email,"Company 29",031288002,2bba84ec-088e-4ffe-8854-99c78eec6af9,NRIC29,https://company29.com,LinkedIn,bc07988e-4ac5-40e4-a28e-0c13111dfd5e,50000,NGO,"Block 29",56fd3e7a-1217-4dde-8ecb-eda5cdcd06b6,1bc14118-742a-4e50-a337-e7e9e8795e56,Value_Primary_Business_Acc_Mgr_29,Analyst,1,Malaysia,user29@example.com,35597,Value_Industry_Sector_29,User29,C29,Value_Sales_Region_29,https://linkedin.com/company/29,https://facebook.com/company29,20e08bb9-654a-42ef-93ac-2cf351eb36a5,0136345983,92efba44-2c24-4d77-af11-1dbe63cbd8f3,"Ref Address 29",0142996193,e6b96ff9-9cd6-4f39-9838-3162428bdf9d,company29.com,Finance,Value_Referred_By_29,Lead,KL,0187783523,PP29,11-50,"Company notes 29. Company notes 29. Company notes 29. Company notes 29. Company notes 29. Company notes 29. Company notes 29. Company notes 29. Company notes 29. Company notes 29. Company notes 29. Company notes 29. ",SME,0128058782,"Company Block 29",19415,3b83f264-e171-4065-b55a-9f1157220a82,Inactive,Value_CILOS_Life_Cycle_Stage_29,Mdm,"Test University 29",2025-Q2,UEN29,SSIC29,"Manager 29",2026-03-04,Direct,https://linkedin.com/in/user29,Value_Career_Level_29,201d68b4-0a66-4022-b401-df72c03a6fea,"Referrer 29",Value_Referrer_Email_Address_29,Finance,Mid,contact29@company.com,0e87239e-f841-48c1-841a-3b3e518e57a8,c6110ac1-aada-4171-94ba-e9cc88f8c7df,work29@example.com,"Generated note 29. Generated note 29. Generated note 29. Generated note 29. Generated note 29. Generated note 29. Generated note 29. Generated note 29. Generated note 29. Generated note 29. ",PASS29,c21ad4d3-1bb6-4009-b2e2-8939626b9fc0,handle29,3b89e852-4c58-473d-9364-c10494170975,4ced9d5c-4c13-41fe-8025-494109ca7702
HigherED,0,127d7acc-8164-4f97-851b-c481105cd609,parent30@example.com,IT,https://company30.com,50000,4b8339a2-7090-43dc-b425-6ffa673771f4,resume30.pdf,"Solution A","Kuala Lumpur","Kuala Lumpur",manager30@company.com,2,Master,"Account Manager 30","Campaign 1",Nurture,036472279,1984-10-05,0ee5d4ac-e0c5-4974-9e36-a81e54878d1d,FIN30,Test30,Small,Purchased,"Street 30",Value_Contact_Owner_30,Value_Secondary_Business_Acc_Mgr_30,KL,"Owner 30",9bc73881-c281-4755-b274-5d0f49c8d740,2ee8b713-a3d5-4ca5-b9e9-a729a831427e,"Company Street 30",Organic,"Company 30",039118224,12942ae3-8760-4b5f-af4a-9ed531b33165,NRIC30,https://company30.com,Facebook,12f6f36e-89e8-4ed4-8d71-950119673d2f,50000,Private,"Block 30",54211c7b-e001-4e74-8688-cc16bad21bb0,75f8daf1-c6e3-4ef7-953e-1711238089fb,Value_Primary_Business_Acc_Mgr_30,Manager,0,Malaysia,user30@example.com,37750,Value_Industry_Sector_30,User30,C30,Value_Sales_Region_30,https://linkedin.com/company/30,https://facebook.com/company30,fb1ab4c1-00a5-4f4b-8de2-a2c548fa9227,0178691887,b51a4fa3-c07f-4899-9df4-ad92708e4eac,"Ref Address 30",0145553803,2e1f62b2-0922-4ca9-a603-3171bfcaae44,company30.com,Education,Value_Referred_By_30,Customer,KL,0145554144,PP30,51-200,"Company notes 30. Company notes 30. Company notes 30. Company notes 30. Company notes 30. Company notes 30. Company notes 30. Company notes 30. Company notes 30. Company notes 30. Company notes 30. Company notes 30. ",Government,0118337359,"Company Block 30",137908,9122f1da-2a0e-4cc0-a787-95014b5a25d6,Active,Value_CILOS_Life_Cycle_Stage_30,Mr,"Test University 30",2025-Q3,UEN30,SSIC30,"Manager 30",2026-03-04,Partner,https://linkedin.com/in/user30,Value_Career_Level_30,1c4d2a5e-533b-4807-bccb-4ebd8877bd63,"Referrer 30",Value_Referrer_Email_Address_30,Sales,Senior,contact30@company.com,cf70897c-0c63-4acd-b54b-6d94de56b831,c7d5d446-7cf2-4974-ac99-360f0178fa46,work30@example.com,"Generated note 30. Generated note 30. Generated note 30. Generated note 30. Generated note 30. Generated note 30. Generated note 30. Generated note 30. Generated note 30. Generated note 30. ",PASS30,c08c7568-77b9-4093-b374-905a8bd74e30,handle30,fdbccd67-0d79-414d-854e-4cd610b1e350,44719462-f258-40fc-b7eb-433b47971430
Training-Institute,1,0443e0a3-37f4-40b5-abe9-dc7bd5d9f8bd,parent31@example.com,Engineering,https://company31.com,50000,796bc01d-252a-479b-aa84-9fdfd48b368c,resume31.pdf,"Solution B","Kuala Lumpur","Kuala Lumpur",manager31@company.com,14,PhD,"Account Manager 31","Campaign 2",Converted,031571172,1985-01-19,8312c25d-4657-4e74-b1f1-47bd70a2b228,FIN31,Test31,Medium,Linkedin,"Street 31",Value_Contact_Owner_31,Value_Secondary_Business_Acc_Mgr_31,KL,"Owner 31",8f0e78f8-9485-4135-aa3d-61617a014fcb,a5e0e4d9-2900-414c-bb46-3e9fdd26cc12,"Company Street 31",Referral,"Company 31",036155071,55ddf486-dfa7-47a2-9334-281804d89137,NRIC31,https://company31.com,Direct,7b2ad462-cc15-4351-8f7f-4a7896313151,50000,Public,"Block 31",ecc2fbbd-3335-4a2c-900e-a09e7b6fb9fe,3c9c8296-bb15-488e-ace8-872989a4001f,Value_Primary_Business_Acc_Mgr_31,Developer,1,Malaysia,user31@example.com,92219,Value_Industry_Sector_31,User31,C31,Value_Sales_Region_31,https://linkedin.com/company/31,https://facebook.com/company31,67b37cf8-66ae-4bbc-97e2-79c201af6772,0164553847,dfd8d1f1-bcfb-43b0-b074-e1146111ce5e,"Ref Address 31",0113191935,388f8698-4903-4f97-8735-d479035fe7a9,company31.com,Retail,Value_Referred_By_31,Alumni,KL,0149711132,PP31,201-500,"Company notes 31. Company notes 31. Company notes 31. Company notes 31. Company notes 31. Company notes 31. Company notes 31. Company notes 31. Company notes 31. Company notes 31. Company notes 31. Company notes 31. ",Education,0123278747,"Company Block 31",416180,b0eebcdd-3bd2-4e7f-9933-c253ab223859,Inactive,Value_CILOS_Life_Cycle_Stage_31,Ms,"Test University 31",2025-Q4,UEN31,SSIC31,"Manager 31",2026-03-04,Reseller,https://linkedin.com/in/user31,Value_Career_Level_31,3484a72e-30b4-455b-8675-6f615e08798f,"Referrer 31",Value_Referrer_Email_Address_31,Marketing,Lead,contact31@company.com,c09a6978-26bf-4ddb-82a0-f2f417c9931c,d5b5e897-e7ac-4d04-a81b-65d7bf8ef796,work31@example.com,"Generated note 31. Generated note 31. Generated note 31. Generated note 31. Generated note 31. Generated note 31. Generated note 31. Generated note 31. Generated note 31. Generated note 31. ",PASS31,a2a2161f-ef1a-4af8-a061-4113e47eaa51,handle31,a708df38-9032-4170-b49c-3539932926d4,f74ca76f-4123-444a-aa82-1cce7cf1cf65
HigherED,0,e3d9df5e-a81f-4653-bcd6-773ef87068bd,parent32@example.com,"Computer Science",https://company32.com,50000,b368f4e0-e902-4c07-8580-1c4e4ce91537,resume32.pdf,"Solution C","Kuala Lumpur","Kuala Lumpur",manager32@company.com,11,Diploma,"Account Manager 32","Campaign 3",New,031440499,1990-01-10,22b5e66c-c37d-4688-b2fa-c184ee9b9677,FIN32,Test32,Large,Marketing,"Street 32",Value_Contact_Owner_32,Value_Secondary_Business_Acc_Mgr_32,KL,"Owner 32",6068e420-a301-4e98-824e-ecfe9f09a6d7,387ba242-7659-43b3-9c5f-e3bf563822ac,"Company Street 32",CPC,"Company 32",035382675,01ebe263-e7fe-49c5-b868-4bb057876a02,NRIC32,https://company32.com,Google,4dcc4b7e-17c6-471e-9cbe-5db9c7e62bd3,50000,NGO,"Block 32",f6aebd74-ffb1-4c7e-9374-344c7af01099,a1c21abd-f225-48b4-ae5e-5a5717be0253,Value_Primary_Business_Acc_Mgr_32,Engineer,0,Malaysia,user32@example.com,88199,Value_Industry_Sector_32,User32,C32,Value_Sales_Region_32,https://linkedin.com/company/32,https://facebook.com/company32,057a8e10-4a72-4df6-9fe4-f7dd9a76e1a5,0186655539,939f60ae-e129-45ff-bb5b-1771270b692e,"Ref Address 32",0191828053,4efa2416-089e-4b03-8c1f-a82e98b7f65d,company32.com,Technology,Value_Referred_By_32,Prospect,KL,0191136535,PP32,1-10,"Company notes 32. Company notes 32. Company notes 32. Company notes 32. Company notes 32. Company notes 32. Company notes 32. Company notes 32. Company notes 32. Company notes 32. Company notes 32. Company notes 32. ",Corporate,0154503164,"Company Block 32",98587,5f5503bb-a369-4e90-bfe7-63d68281c6b5,Active,Value_CILOS_Life_Cycle_Stage_32,Mrs,"Test University 32",2025-Q1,UEN32,SSIC32,"Manager 32",2026-03-04,Direct,https://linkedin.com/in/user32,Value_Career_Level_32,77887306-02a9-478e-86da-c9c7fa7eb251,"Referrer 32",Value_Referrer_Email_Address_32,IT,Junior,contact32@company.com,a97b5f21-0bf0-4869-87b7-c9cd3c966949,fb0adbc3-9612-478e-b6d2-ae332ed7d268,work32@example.com,"Generated note 32. Generated note 32. Generated note 32. Generated note 32. Generated note 32. Generated note 32. Generated note 32. Generated note 32. Generated note 32. Generated note 32. ",PASS32,06ff5c0d-4339-4d72-a555-dad28d0de335,handle32,086c1f24-7d79-4553-b5c0-e4f1ee018a9f,de55be23-1f18-4a4b-8ff3-ff0c7bc5bead
Training-Institute,1,cb7abeea-b1a9-4024-8181-1d9eb5cb6a36,parent33@example.com,Business,https://company33.com,50000,f7e1bd87-e185-485a-99a6-b1f98163c54b,resume33.pdf,"Solution A","Kuala Lumpur","Kuala Lumpur",manager33@company.com,1,Degree,"Account Manager 33","Campaign 4",Working,038991883,1993-04-28,303d06ca-4d07-4965-a342-bf4a11a79b61,FIN33,Test33,Small,Sales,"Street 33",Value_Contact_Owner_33,Value_Secondary_Business_Acc_Mgr_33,KL,"Owner 33",bcc474b5-efc7-44a4-92f9-6f2ece99584e,3c737fb9-ac09-414d-b80e-c891f5575093,"Company Street 33",Email,"Company 33",039664202,ae5e3acb-1060-4ac9-ab57-9537fdf1f792,NRIC33,https://company33.com,LinkedIn,1defc41d-918e-4f39-9fbc-20cb176ed50d,50000,Private,"Block 33",4e3c482f-1696-4e96-8cd3-dfed0f40a8ad,40e97395-b5a5-4291-8c2f-f193ed030963,Value_Primary_Business_Acc_Mgr_33,Analyst,1,Malaysia,user33@example.com,109467,Value_Industry_Sector_33,User33,C33,Value_Sales_Region_33,https://linkedin.com/company/33,https://facebook.com/company33,9b7b7787-7d4e-460e-99fc-cc233e4ac735,0128625283,55bc6907-c5e5-4973-aeae-49b0a607efe9,"Ref Address 33",0145740617,cb15d1fa-79e4-4b37-9354-7205b6155e72,company33.com,Finance,Value_Referred_By_33,Lead,KL,0148447453,PP33,11-50,"Company notes 33. Company notes 33. Company notes 33. Company notes 33. Company notes 33. Company notes 33. Company notes 33. Company notes 33. Company notes 33. Company notes 33. Company notes 33. Company notes 33. ",SME,0136490205,"Company Block 33",303908,a51c3333-8424-4f2d-a4be-f7e79c7ad531,Inactive,Value_CILOS_Life_Cycle_Stage_33,Dr,"Test University 33",2025-Q2,UEN33,SSIC33,"Manager 33",2026-03-04,Partner,https://linkedin.com/in/user33,Value_Career_Level_33,fc1443b7-fe6a-467c-94d2-8b4c17ac5362,"Referrer 33",Value_Referrer_Email_Address_33,Finance,Mid,contact33@company.com,d26bf968-59fc-40d9-bf55-f117f8c77841,16f9dfee-df9c-40a4-82ba-642121dcf4ad,work33@example.com,"Generated note 33. Generated note 33. Generated note 33. Generated note 33. Generated note 33. Generated note 33. Generated note 33. Generated note 33. Generated note 33. Generated note 33. ",PASS33,dd64c0e3-08ad-4f2e-8d13-59b848047861,handle33,2550348b-ddd1-4bad-8c6d-e566d7880e7a,132def81-1fa2-48cb-b715-1a4c3efd1366
